STT,COIN ID,Name,Market cap rank,Price BTC,Score,Date
2,shiba-inu,Shiba Inu,26,2.396694923983986E-10,0,2021-6-30
3,persistence,Persistence,155,2.542240123885547E-4,1,2021-6-30
4,axie-infinity,Axie Infinity,151,1.450462765064637E-4,2,2021-6-30
5,matic-network,Polygon,17,3.220193952771904E-5,3,2021-6-30
6,internet-computer,Internet Computer,21,0.001275909796163502,4,2021-6-30
7,feg-token,FEG Token,133,2.3171379667275E-13,5,2021-6-30
8,smooth-love-potion,Smooth Love Potion,337,3.65203668131616E-6,6,2021-6-30
9,shiba-inu,Shiba Inu,26,2.4169228019693856E-10,0,2021-6-30
10,axie-infinity,Axie Infinity,149,1.480907786284289E-4,1,2021-6-30
11,matic-network,Polygon,17,3.248067399849204E-5,2,2021-6-30
12,feg-token,FEG Token,133,2.324200286278662E-13,3,2021-6-30
13,internet-computer,Internet Computer,21,0.001322828754975758,4,2021-6-30
14,smooth-love-potion,Smooth Love Potion,335,3.7190988980981806E-6,5,2021-6-30
15,safemoon,SafeMoon,51,9.671838832320655E-11,6,2021-6-30
16,fantom,Fantom,106,6.419244332605347E-6,0,2021-7-1
17,shiba-inu,Shiba Inu,26,2.427155700905366E-10,1,2021-7-1
18,persistence,Persistence,155,2.537871713047066E-4,2,2021-7-1
19,matic-network,Polygon,16,3.1988413450398524E-5,3,2021-7-1
20,axie-infinity,Axie Infinity,151,1.4667377924511965E-4,4,2021-7-1
21,internet-computer,Internet Computer,21,0.0013102313635045982,5,2021-7-1
22,smooth-love-potion,Smooth Love Potion,337,3.7077703440163286E-6,6,2021-7-1
